realtime,angle,analog,level,millis,
14:48:59.043,131,369,3.36,865972, 
14:48:59.515,131,369,3.38,866476, 
14:49:00.029,131,369,3.36,866979, 
14:49:00.542,131,368,3.38,867482, 
14:49:01.013,131,369,3.38,867985, 
14:49:01.532,131,369,3.36,868488, 
14:49:02.046,131,369,3.38,868992, 
14:49:02.513,131,369,3.36,869495, 
14:49:03.026,131,369,3.38,869998, 
14:49:03.541,131,369,3.38,870501, 
14:49:04.009,131,369,3.38,871004, 
14:49:04.529,131,368,3.38,871507, 
14:49:05.046,131,368,3.38,872010, 
14:49:05.519,131,369,3.38,872513, 
14:49:06.037,131,369,3.36,873016, 
14:49:06.505,131,369,3.38,873519, 
14:49:07.022,131,368,3.38,874022, 
14:49:07.539,131,369,3.60,874525, 
14:49:08.010,131,369,3.36,875028, 
14:49:08.529,131,368,3.38,875531, 
14:49:09.047,131,369,3.36,876034, 
14:49:09.518,131,369,3.36,876537, 
14:49:10.034,131,368,3.36,877040, 
14:49:10.502,131,369,3.36,877543, 
14:49:11.019,131,368,3.60,878046, 
14:49:11.536,131,369,3.38,878550, 
14:49:12.002,131,369,3.36,879053, 
14:49:12.519,131,369,3.36,879556, 
14:49:13.036,137,469,3.38,880059, 
14:49:13.504,138,494,3.38,880562, 
14:49:14.021,133,409,3.58,881065, 
14:49:14.539,121,198,3.60,881568, 
14:49:15.011,115,97,3.38,882071, 
14:49:15.531,115,99,3.38,882574, 
14:49:16.046,115,99,3.80,883077, 
14:49:16.513,115,99,3.38,883580, 
14:49:17.016,118,145,3.38,884083, 
14:49:17.531,126,275,3.60,884586, 
14:49:18.002,129,340,3.58,885089, 
14:49:18.519,131,362,3.36,885592, 
14:49:19.035,130,349,3.38,886095, 
14:49:19.504,136,451,3.36,886598, 
14:49:20.020,136,459,3.36,887101, 
14:49:20.539,136,459,3.38,887604, 
14:49:21.007,136,458,3.38,888108, 
14:49:21.509,136,460,3.38,888611, 
14:49:22.027,136,458,3.36,889114, 
14:49:22.544,136,446,3.36,889617, 
14:49:23.012,135,434,3.38,890120, 
14:49:23.527,135,434,3.38,890624, 
14:49:24.000,135,434,3.60,891127, 
14:49:24.515,135,435,3.38,891630, 
14:49:25.032,135,434,3.38,892133, 
14:49:25.499,135,434,3.80,892636, 
14:49:26.017,135,435,3.38,893139, 
14:49:26.531,135,435,3.80,893642, 
14:49:27.000,135,434,3.38,894145, 
14:49:27.516,135,434,3.58,894648, 
14:49:28.030,135,435,3.80,895151, 
14:49:28.497,135,434,3.80,895654, 
14:49:29.013,135,434,3.80,896157, 
14:49:29.527,135,434,3.80,896660, 
14:49:29.996,135,434,3.80,897163, 
14:49:30.498,135,434,3.38,897666, 
14:49:31.017,135,434,3.36,898169, 
14:49:31.532,135,434,3.38,898672, 
14:49:32.003,135,435,3.80,899175, 
14:49:32.518,135,435,3.38,899678, 
14:49:33.031,135,435,3.38,900182, 
14:49:33.501,135,435,3.79,900685, 
14:49:34.018,135,434,4.03,901188, 
14:49:34.532,135,435,4.01,901691, 
14:49:35.000,135,434,3.38,902194, 
14:49:35.517,135,434,3.80,902697, 
14:49:36.033,135,435,3.79,903200, 
14:49:36.503,135,434,3.80,903703, 
14:49:37.016,135,434,3.80,904206, 
14:49:37.533,135,434,4.03,904709, 
14:49:38.003,135,434,3.80,905212, 
14:49:38.521,135,434,3.80,905715, 
14:49:39.038,135,435,3.80,906218, 
14:49:39.509,135,434,3.80,906721, 
14:49:40.025,135,434,3.80,907224, 
14:49:40.493,135,434,3.80,907727, 
14:49:41.011,135,435,3.80,908230, 
14:49:41.518,135,435,3.80,908733, 
14:49:42.036,135,434,3.80,909236, 
14:49:42.505,135,435,3.80,909740, 
14:49:43.021,135,434,3.80,910243, 
14:49:43.492,135,434,3.79,910746, 
14:49:44.007,135,435,3.79,911249, 
14:49:44.525,135,434,4.03,911752, 
14:49:44.993,135,434,3.80,912256, 
14:49:45.509,135,435,3.80,912759, 
14:49:46.023,135,434,3.80,913262, 
14:49:46.492,135,434,3.80,913765, 
14:49:47.007,135,434,3.36,914268, 
14:49:47.522,135,434,3.80,914771, 
14:49:47.996,135,434,3.80,915274, 
14:49:48.511,135,434,3.80,915777, 
14:49:49.025,135,434,3.43,916280, 
14:49:49.495,135,434,3.86,916783, 
14:49:50.013,135,434,3.86,917286, 
14:49:50.527,135,434,3.86,917789, 
14:49:50.998,135,434,3.10,918292, 
14:49:51.518,135,434,3.96,918795, 
