14:48:59.043 -> deg: 131, a: 369, D: 3.36, t: 865972, 
14:48:59.515 -> deg: 131, a: 369, D: 3.38, t: 866476, 
14:49:00.029 -> deg: 131, a: 369, D: 3.36, t: 866979, 
14:49:00.542 -> deg: 131, a: 368, D: 3.38, t: 867482, 
14:49:01.013 -> deg: 131, a: 369, D: 3.38, t: 867985, 
14:49:01.532 -> deg: 131, a: 369, D: 3.36, t: 868488, 
14:49:02.046 -> deg: 131, a: 369, D: 3.38, t: 868992, 
14:49:02.513 -> deg: 131, a: 369, D: 3.36, t: 869495, 
14:49:03.026 -> deg: 131, a: 369, D: 3.38, t: 869998, 
14:49:03.541 -> deg: 131, a: 369, D: 3.38, t: 870501, 
14:49:04.009 -> deg: 131, a: 369, D: 3.38, t: 871004, 
14:49:04.529 -> deg: 131, a: 368, D: 3.38, t: 871507, 
14:49:05.046 -> deg: 131, a: 368, D: 3.38, t: 872010, 
14:49:05.519 -> deg: 131, a: 369, D: 3.38, t: 872513, 
14:49:06.037 -> deg: 131, a: 369, D: 3.36, t: 873016, 
14:49:06.505 -> deg: 131, a: 369, D: 3.38, t: 873519, 
14:49:07.022 -> deg: 131, a: 368, D: 3.38, t: 874022, 
14:49:07.539 -> deg: 131, a: 369, D: 3.60, t: 874525, 
14:49:08.010 -> deg: 131, a: 369, D: 3.36, t: 875028, 
14:49:08.529 -> deg: 131, a: 368, D: 3.38, t: 875531, 
14:49:09.047 -> deg: 131, a: 369, D: 3.36, t: 876034, 
14:49:09.518 -> deg: 131, a: 369, D: 3.36, t: 876537, 
14:49:10.034 -> deg: 131, a: 368, D: 3.36, t: 877040, 
14:49:10.502 -> deg: 131, a: 369, D: 3.36, t: 877543, 
14:49:11.019 -> deg: 131, a: 368, D: 3.60, t: 878046, 
14:49:11.536 -> deg: 131, a: 369, D: 3.38, t: 878550, 
14:49:12.002 -> deg: 131, a: 369, D: 3.36, t: 879053, 
14:49:12.519 -> deg: 131, a: 369, D: 3.36, t: 879556, 
14:49:13.036 -> deg: 137, a: 469, D: 3.38, t: 880059, 
14:49:13.504 -> deg: 138, a: 494, D: 3.38, t: 880562, 
14:49:14.021 -> deg: 133, a: 409, D: 3.58, t: 881065, 
14:49:14.539 -> deg: 121, a: 198, D: 3.60, t: 881568, 
14:49:15.011 -> deg: 115, a: 97, D: 3.38, t: 882071, 
14:49:15.531 -> deg: 115, a: 99, D: 3.38, t: 882574, 
14:49:16.046 -> deg: 115, a: 99, D: 3.80, t: 883077, 
14:49:16.513 -> deg: 115, a: 99, D: 3.38, t: 883580, 
14:49:17.016 -> deg: 118, a: 145, D: 3.38, t: 884083, 
14:49:17.531 -> deg: 126, a: 275, D: 3.60, t: 884586, 
14:49:18.002 -> deg: 129, a: 340, D: 3.58, t: 885089, 
